ABMI.Site,day,month,year,Days.Since.Snow,Snow.Conditions,Temperature..Degrees.Celsius.,mean.snow.depth
723,28,Feb,2014,6,Powder,-28,61.5
724,25,Feb,2014,3,Powder,-25,50
725,15,Feb,2014,3,Powder,-5,50.5
726,24,Feb,2014,3,Powder,-16,59
727,5,Jan,2014,3,Powder,-34,51.5
728,26,Jan,2011,5,Wet,5,74.83333333333333
729,18,Dec,2010,3,Powder,-12,34
730,26,Jan,2011,5,Powder,0,26.833333333333332
735,16,Dec,2012,5,Powder,-8,59.5
736,15,Dec,2012,4,Powder,-13,55.666666666666664
737,15,Dec,2012,4,Powder,-14,46.166666666666664
744,27,Nov,2013,3,Crust,-13,18.5
745,5,Jan,2014,4,Powder,-31,54
746,5,Jan,2014,4,Powder,-28,54.833333333333336
750,15,Feb,2009,5,Powder,-18,22.666666666666668
751,13,Feb,2009,3,Powder,-20,65.33333333333333
752,14,Feb,2009,4,Powder,-18,60.333333333333336
753,26,Feb,2014,4,Powder,-7,62.833333333333336
754,27,Feb,2014,5,Powder,-10,59.666666666666664
755,24,Feb,2014,3,Powder,-25,38.833333333333336
756,15,Feb,2014,3,Powder,-17,49.5
757,5,Jan,2014,3,Powder,-26,38.333333333333336
758,15,Feb,2014,3,Powder,-8,30
759,8,Jan,2010,5,Powder,-16,39
760,25,Jan,2011,4,Powder,-6,36.833333333333336
761,26,Jan,2011,5,Powder,2,25.833333333333332
770,13,Jan,2013,5,Powder,-17,41.333333333333336
772,13,Jan,2013,5,Powder,-12,46.333333333333336
776,27,Nov,2013,3,Crust,-7,16.166666666666668
777,5,Jan,2014,4,Powder,-38,51.166666666666664
778,24,Feb,2014,3,Powder,-35,35
791,5,Feb,2008,3,Powder,-15,52.166666666666664
792,6,Mar,2008,3,Powder,-20,53.666666666666664
793,5,Feb,2008,4,Powder,-22,48
794,16,Dec,2012,4,Powder,-8,33.5
802,10,Apr,2013,3,Wet,7,66.66666666666667
804,12,Jan,2013,4,Powder,-14,47
808,8,Jan,2014,3,Powder,-5,55.833333333333336
809,8,Jan,2014,3,Powder,-4,44.666666666666664
810,8,Jan,2014,3,Powder,-7,52
823,6,Mar,2008,3,Crust,-5,50
824,5,Feb,2008,3,Powder,-10,19.333333333333332
